"ID","icon","critterpedia_index","available_dry","available_wet","name","normalised_name","capture_quote","price","size","location","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"[52231,39287847]","https://starwort.github.io/nookdata/assets/fish/55.png",55,1,1,"anchovy","anchovy","I caught an anchovy! Stay away from my pizza!",200,2,"Sea","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]"
"[52231,39287972]","https://starwort.github.io/nookdata/assets/fish/35.png",35,1,1,"angelfish","angelfish","I caught an angelfish! That other fish told me to do it!",3000,2,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296320]","https://starwort.github.io/nookdata/assets/fish/43.png",43,1,1,"arapaima","arapaima","I caught an arapaima! How did it get here? Arapaiknow!",10000,6,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296569]","https://starwort.github.io/nookdata/assets/fish/57.png",57,1,1,"barred knifejaw","barred_knifejaw","I caught a barred knifejaw! They must have a hard time eating!",5000,3,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]"
"[52231,39296652]","https://starwort.github.io/nookdata/assets/fish/40.png",40,1,1,"arowana","arowana","I caught an arowana! I'd make a joke, but I don't 'wana.",10000,4,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296770]","https://starwort.github.io/nookdata/assets/fish/36.png",36,1,1,"betta","betta","I caught a betta! I betta not drop it!",2500,2,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39296997]","https://starwort.github.io/nookdata/assets/fish/78.png",78,1,1,"barreleye","barreleye","I caught a barreleye! Like eyeing fish in a barrel!",15000,2,"Sea","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]","#ROW[53331,40049678]"
"[52231,39297073]","https://starwort.github.io/nookdata/assets/fish/00.png",0,1,1,"bitterling","bitterling","I caught a bitterling! It's mad at me, but only a little.",900,1,"River","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39297349]","https://starwort.github.io/nookdata/assets/fish/21.png",21,1,1,"black bass","black_bass","I caught a black bass! The most metal of all fish!",400,4,"River","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39301177]","https://starwort.github.io/nookdata/assets/fish/53.png",53,1,1,"blowfish","blowfish","[missing]",5000,3,"Sea","#ROW[53331,40049674]","#ROW[53331,40049674]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049674]","#ROW[53331,40049674]"
"[52231,39301346]","https://starwort.github.io/nookdata/assets/fish/66.png",66,1,1,"blue marlin","blue_marlin","I caught a blue marlin! Listen to this fish. It's got a point.",10000,6,"Pier","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39301876]","https://starwort.github.io/nookdata/assets/fish/19.png",19,1,1,"bluegill","bluegill","I caught a bluegill! Do you think it calls me ""pinklung""?",180,2,"River","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]"
"[52231,39302162]","https://starwort.github.io/nookdata/assets/fish/50.png",50,1,1,"butterfly fish","butterfly_fish","I caught a butterfly fish! Did it change from a caterpillar fish?",1000,2,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39302324]","https://starwort.github.io/nookdata/assets/fish/04.png",4,1,1,"carp","carp","I caught a carp! If I catch another they can carpool!",300,4,"Pond","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39305192]","https://starwort.github.io/nookdata/assets/fish/17.png",17,1,1,"catfish","catfish","I caught a catfish! I'm more of a dogfish person...",800,4,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39305782]","https://starwort.github.io/nookdata/assets/fish/27.png",27,1,1,"char","char","I caught a char! Now I'm gonna sit on it!",3800,3,"Waterfall","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]"
"[52231,39306567]","https://starwort.github.io/nookdata/assets/fish/26.png",26,1,1,"cherry salmon","cherry_salmon","I caught a cherry salmon! It's the perfect topper for a marlin sundae!",1000,3,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]"
"[52231,39307378]","https://starwort.github.io/nookdata/assets/fish/48.png",48,1,1,"clown fish","clown_fish","I caught a clown fish! How many can fit in a carfish?",650,1,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39307828]","https://starwort.github.io/nookdata/assets/fish/79.png",79,0,1,"coelacanth","coelacanth","<big><big>Blast from the past!</big></big> I caught a coelacanth! Think positive! Be a coela-CAN!",15000,6,"Sea","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39307997]","https://starwort.github.io/nookdata/assets/fish/10.png",10,1,1,"crawfish","crawfish","I caught a crawfish! Or else it's a lobster and I'm a giant!",200,2,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39308120]","https://starwort.github.io/nookdata/assets/fish/02.png",2,1,1,"crucian carp","crucian_carp","I caught a crucian carp! My skills are sharp!",160,2,"River","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39308158]","https://starwort.github.io/nookdata/assets/fish/60.png",60,1,1,"dab","dab","I caught a dab! Not bad!",300,3,"Sea","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39308315]","https://starwort.github.io/nookdata/assets/fish/03.png",3,1,1,"dace","dace","I caught a dace! Hope I have some space!\n\n<small><small>...But I can't carry anything else! Should I swap it with something?</small></small>",240,3,"River","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]"
"[52231,39308547]","https://starwort.github.io/nookdata/assets/fish/41.png",41,1,1,"dorado","dorado","I caught a dorado! <big>♪</big>I say ""Dorado"", you say ""Doraydo.""<big>♪</big>",15000,5,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049633]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39308621]","https://starwort.github.io/nookdata/assets/fish/76.png",76,1,1,"football fish","football_fish","I caught a football fish! Some countries call it a soccer fish!",2500,4,"Sea","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]"
"[52231,39308910]","https://starwort.github.io/nookdata/assets/fish/15.png",15,1,1,"freshwater goby","freshwater_goby","I caught a freshwater goby! Time to go bye-bye!",400,2,"River","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]"
"[52231,39309233]","https://starwort.github.io/nookdata/assets/fish/14.png",14,1,1,"frog","frog","I caught a frog! Or it's a new neighbour...and I have some apologising to do.",120,2,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39309346]","https://starwort.github.io/nookdata/assets/fish/42.png",42,1,1,"gar","gar","I caught a gar! Yar! It's a gar! Har har!",6000,6,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39309921]","https://starwort.github.io/nookdata/assets/fish/18.png",18,1,1,"giant snakehead","giant_snakehead","I caught a giant snakehead! Um...but I asked for a medium?",5500,5,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39310121]","https://starwort.github.io/nookdata/assets/fish/67.png",67,1,1,"giant trevally","giant_trevally","I caught a giant trevally! Yeah, I'm pretty well-trevalled.",4500,5,"Pier","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39311153]","https://starwort.github.io/nookdata/assets/fish/28.png",28,1,1,"golden trout","golden_trout","I caught a golden trout! But the real treasure? Friendship.",15000,3,"Clifftop river","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]"
"[52231,39311279]","https://starwort.github.io/nookdata/assets/fish/06.png",6,1,1,"goldfish","goldfish","I caught a goldfish! It's worth its weight in fish!",1300,1,"Pond","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39311808]","https://starwort.github.io/nookdata/assets/fish/73.png",73,1,1,"great white shark","great_white_shark","I caught a great white shark! Watch out for its jaws!",15000,16,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39311887]","https://starwort.github.io/nookdata/assets/fish/33.png",33,1,1,"guppy","guppy","I caught a guppy! Welcome to the team, newbie!",1300,1,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049685]","#ROW[53331,40049188]"
"[52231,39361826]","https://starwort.github.io/nookdata/assets/fish/72.png",72,1,1,"hammerhead shark","hammerhead_shark","I caught a hammerhead shark! I hit the nail on the head!",8000,16,"Sea","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39361901]","https://starwort.github.io/nookdata/assets/fish/56.png",56,1,1,"horse mackerel","horse_mackerel","I caught a horse mackerel! Of course, Mack...er...el.",150,2,"Sea","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]"
"[52231,39362100]","https://starwort.github.io/nookdata/assets/fish/09.png",9,1,1,"killifish","killifish","I caught a killifish! The streams are safe again!",300,1,"Pond","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39362250]","https://starwort.github.io/nookdata/assets/fish/31.png",31,1,1,"king salmon","king_salmon","Yes! I caught a king salmon! Checkmate!",1800,6,"River mouth (first half of September)\nRiver (second half of September)","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
"[52231,39362332]","https://starwort.github.io/nookdata/assets/fish/05.png",5,1,1,"koi","koi","I caught a koi! I don't know why it's so shy... or such a bad speller...",4000,4,"Pond","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]","#ROW[53331,40049636]"
"[52231,39362408]","https://starwort.github.io/nookdata/assets/fish/16.png",16,1,1,"loach","loach","I caught a loach! It's...looking at me with reproach.",400,2,"River","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049680]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]","#ROW[53331,40049188]"
